"tr_build_id","gh_project_name","NC","nbr_auth","NMF","NLR","NLA","CX","FT","TD","WD","CTM","AX","ACF","BT","openjdk6","openjdk7","oraclejdk7","oraclejdk8","BS3","prev_BS3","BS2","prev_BS2","BS1","prev_BS1","entropy","MysteryGuest","GeneralFixture","AssertionRoulette","IndirectTesting","SensitiveEquality","commit","LongMethod","LongParameterList","ComplexClass","Blob","LazyClass","AntiSingleto","BaseClassShouldBeAbstract","RefusedParentBequest","ManyFieldAttributesButNotComplex","SpaghettiCode","SpeculativeGenerality","LargeClass","gh_build_started_at","old_PB","BC","DLF","exist_test"
18188786,"TimotheeJeannin/ProviGen",2,2,4,3,70,"faible","other",4,"Tuesday","1",0,"other","UNKNOWN",0,0,0,0,1,NA,1,NA,1,NA,0,"","","","","","5604dec75a14ac5078cab2ff8be4014437d358bb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-02-04 09:53:21",NA,NA,"",0
18221388,"TimotheeJeannin/ProviGen",2,2,7,3,117,"faible","other",14,"Tuesday","1",518,"daily","PUSH",0,0,1,0,1,NA,1,NA,NA,NA,0.299798155962247,"","","","","","a92fa13e2aff1debc40bd84a98796f90ef9b4915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-02-04 20:02:26",NA,NA,"",0
18222060,"TimotheeJeannin/ProviGen",1,1,1,0,1,"faible","other",14,"Tuesday","1",518,"daily","PUSH",0,0,1,0,1,1,0,0,1,1,0,"","","","","","eebe896a9167c0124fedb5191cc00ef912ae4ae0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-02-04 19:47:38",0,0,"",0
18222894,"TimotheeJeannin/ProviGen",1,1,1,1,1,"faible","other",15,"Tuesday","1",518,"daily","PUSH",0,0,1,0,0,1,0,0,0,1,0,"","","","","","2b890ffdfe8d4ba6875897085617679e0a70f77e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-02-04 20:01:16",0,0,"",0
18225412,"TimotheeJeannin/ProviGen",1,1,4,21,14,"faible","other",15,"Tuesday","1",518,"daily","MERGE",0,0,1,0,1,0,0,0,1,0,0.715242268083518,"","","","","","255faaa912c30cab1d97d73eb0d5ccdea5b04308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-02-04 21:06:12",0,0,"",0
18226903,"TimotheeJeannin/ProviGen",1,1,1,1,2,"faible","other",15,"Tuesday","1",518,"daily","PUSH",0,0,1,0,1,1,0,0,1,1,0,"","","","","","b852ca60b9335070ff13477471a509a7e2f33985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-02-04 21:01:34",0,0,"",0
18227708,"TimotheeJeannin/ProviGen",1,1,2,3,3,"faible","other",16,"Tuesday","1",518,"daily","PUSH",0,0,1,0,1,1,1,0,NA,1,0.91829583405449,"","","","","","1fb5d6b24649c72891ba1191d74cfed47d27b1c1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-02-04 21:14:20",0,0,"",0
18228674,"TimotheeJeannin/ProviGen",1,1,1,1,4,"faible","other",16,"Tuesday","1",518,"daily","PUSH",0,0,1,0,1,1,0,1,1,NA,0,"","","","","","4de44f10cc2afd2e60ebcca05755d1ec3569a1d8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-02-04 21:29:16",0,0,"",0
18229844,"TimotheeJeannin/ProviGen",1,1,1,0,6,"faible","other",16,"Tuesday","1",518,"daily","PUSH",0,0,1,0,1,1,0,0,1,1,0,"","","","","","7469f491c486acf9686c7a296839e8c958ead3b2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-02-04 21:45:11",0,0,"",0
18254003,"TimotheeJeannin/ProviGen",2,2,12,59,285,"faible","other",2,"Wednesday","1",1,"other","PR",0,0,1,0,1,1,0,0,1,1,0.439478135828139,"","","","","","e7bcec60e41ce35b6a2f23feb88ff8e4d9a6e307",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-02-05 07:44:36",0,0,"",0
