"tr_build_id","gh_project_name","NC","nbr_auth","NMF","NLR","NLA","CX","FT","TD","WD","CTM","AX","ACF","BT","openjdk6","openjdk7","oraclejdk7","oraclejdk8","BS3","prev_BS3","BS2","prev_BS2","BS1","prev_BS1","entropy","MysteryGuest","GeneralFixture","AssertionRoulette","IndirectTesting","SensitiveEquality","commit","LongMethod","LongParameterList","ComplexClass","Blob","LazyClass","AntiSingleto","BaseClassShouldBeAbstract","RefusedParentBequest","ManyFieldAttributesButNotComplex","SpaghettiCode","SpeculativeGenerality","LargeClass","gh_build_started_at","old_PB","BC","DLF","exist_test"
61697120,"aws/aws-sdk-java",3,14,237,2805,5921,"high","test+src+other",19,"Thursday","0",1871,"daily","UNKNOWN",1,1,1,1,1,0,0,0,1,0,0.347880482690182,"","","","","","8f0ce23d82184449a67d60eb5d3a97447c2acddf",1,1,0,0,0,0,0,0,1,1,0,0,"2015-05-07 23:48:47",0,0,"more_week_ago",0
61697130,"aws/aws-sdk-java",2,14,396,5179,11267,"faible","test+src+other",18,"Thursday","0",1871,"daily","UNKNOWN",1,1,1,1,0,NA,0,NA,0,NA,0.509549266751109,"","","","","","97d6694d9b310cf3a57d62f36752f36757f6b849",1,1,0,0,0,0,0,0,1,1,0,0,"2015-05-07 23:52:32",0,0,"more_week_ago",0
62116816,"aws/aws-sdk-java",1,1,20,1398,432,"faible","src+doc",13,"Monday","1",69,"monthly","MERGE",1,1,1,1,0,1,0,0,0,1,0.931596070094831,"","","","","","482034cb6d3472df80039671a4c01615ffbf4bfd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015-05-11 20:59:16",0,0,"more_week_ago",0
62634874,"aws/aws-sdk-java",2,14,590,6190,39060,"high","src+other",20,"Thursday","0",1879,"daily","PUSH",1,1,1,1,0,0,0,0,0,0,0.419681114440248,"","","","","","212249dbbc2d8a340058fed3c35be9f6a23c0dd3",1,1,0,0,0,0,0,0,0,1,0,0,"2015-05-15 00:17:38",0,0,"more_week_ago",0
62634895,"aws/aws-sdk-java",1,1,568,4790,38482,"faible","src+other",17,"Thursday","0",1878,"daily","UNKNOWN",1,1,1,1,0,NA,0,NA,0,NA,0.819770860442979,"","","","","","6a204fbb7c733fc15c9e195a875c462cf14b60f1",1,1,0,0,0,0,0,0,0,1,0,0,"2015-05-15 00:29:32",0,0,"more_week_ago",0
63236548,"aws/aws-sdk-java",2,14,713,7287,50263,"high","src+other",16,"Tuesday","0",1883,"daily","PUSH",1,1,1,1,1,0,0,0,1,0,0.431243608571462,"","","","","","84adaca80ee2b974f76816f5d4d9be90a5aa8543",1,1,0,0,0,0,0,0,0,1,0,0,"2015-05-19 20:48:08",0,0,"more_week_ago",0
63236610,"aws/aws-sdk-java",1,1,143,2495,11635,"faible","src+other",15,"Tuesday","0",1883,"daily","UNKNOWN",1,1,1,1,1,NA,0,NA,1,NA,0.837451003711612,"","","","","","59ba8460edb86955b394599f73f04d23c7deaf98",1,1,0,0,0,0,0,0,0,1,0,0,"2015-05-19 21:03:55",0,0,"more_week_ago",0
63553704,"aws/aws-sdk-java",2,14,291,4955,18070,"high","test+src+other",16,"Thursday","0",1885,"daily","PUSH",1,1,1,1,0,1,0,0,0,1,0.414188342406533,"","","","","","6b7a7b67dc6f5bbca7d6b60069d4b6cd327e49f0",1,1,0,0,0,0,0,0,0,1,0,0,"2015-05-21 21:10:41",0,0,"more_week_ago",0
63553709,"aws/aws-sdk-java",1,1,146,2458,6289,"faible","test+src+other",13,"Thursday","0",1885,"daily","UNKNOWN",1,1,1,1,1,NA,0,NA,1,NA,0.803444773685008,"","","","","","1f6bc4c7ca32f5ec1f72134eb83df8c8ac53c450",1,1,0,0,0,0,0,0,0,1,0,0,"2015-05-21 21:40:04",0,0,"more_week_ago",0
64160869,"aws/aws-sdk-java",2,14,292,2820,22684,"high","src+other",17,"Tuesday","0",1890,"daily","PUSH",1,1,1,1,1,0,0,0,1,0,0.408314215974938,"","","","","","8397ef2731c9ea57de1a529a2e3991eebb96b257",1,1,0,0,0,0,0,0,0,1,0,0,"2015-05-26 21:21:15",0,0,"more_week_ago",0
