tr_build_id,gh_project_name,NC,nbr_auth,NMF,NLR,NLA,CX,FT,TD,WD,CTM,AX,ACF,BT,openjdk6,openjdk7,oraclejdk7,oraclejdk8,BS3,prev_BS3,BS2,prev_BS2,BS1,prev_BS1,entropy,MysteryGuest,GeneralFixture,AssertionRoulette,IndirectTesting,SensitiveEquality,commit,LongMethod,LongParameterList,ComplexClass,Blob,LazyClass,AntiSingleto,BaseClassShouldBeAbstract,RefusedParentBequest,ManyFieldAttributesButNotComplex,SpaghettiCode,SpeculativeGenerality,LargeClass,gh_build_started_at,old_PB,BC,DLF,exist_test
6092528,dropwizard/dropwizard,2.0,72.0,4.0,32.0,49.0,faible,other,16.0,Friday,1.0,696.0,daily,UNKNOWN,1.0,1.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,,1b1c0823d6b198425a943871e55203adc75b25ff,,,,,,,,,,,,,2013-04-05 20:52:27,,,,0.0
6093321,dropwizard/dropwizard,1.0,1.0,1.0,1.0,1.0,faible,src,17.0,Friday,1.0,696.0,daily,UNKNOWN,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,097b89238411af8c1c600f114c8e4b556bbe99b9,,,,,,,,,,,,,2013-04-05 21:16:22,0.0,0.0,,0.0
6094390,dropwizard/dropwizard,1.0,1.0,1.0,0.0,8.0,faible,src,17.0,Friday,1.0,696.0,daily,UNKNOWN,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,47b07a049aa8ba3a89efa6c60496827c17d40e7d,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-04-05 21:58:15,0.0,0.0,,1.0
6141374,dropwizard/dropwizard,3.0,72.0,24.0,361.0,501.0,high,test+src,22.0,Sunday,1.0,699.0,daily,PUSH,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39483489291942997,1.0,0.0,1.0,1.0,1.0,169094e56eb993f6b8a4bf2305674341ef10a4ac,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-04-08 02:56:35,0.0,0.0,,1.0
6141412,dropwizard/dropwizard,1.0,1.0,1.0,2.0,3.0,faible,src,22.0,Sunday,1.0,699.0,daily,PUSH,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3b5614fcc702bd8688ea890e0ee0098852ce067d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-04-08 02:58:00,0.0,0.0,,1.0
6167934,dropwizard/dropwizard,1.0,1.0,1.0,35.0,1.0,faible,,18.0,Monday,1.0,699.0,daily,MERGE,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,90a91bbf5e5973e4162f33247b092ef45ba5c413,,,,,,,,,,,,,2013-04-08 22:09:50,0.0,0.0,,0.0
6167940,dropwizard/dropwizard,1.0,1.0,1.0,0.0,1.0,faible,src,18.0,Monday,1.0,699.0,daily,MERGE,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bf80912834dd70363cba3f5be3f71a6e049060de,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-04-08 22:09:47,0.0,0.0,,1.0
6507130,dropwizard/dropwizard,1.0,1.0,1.0,2.0,2.0,faible,test+src,1.0,Sunday,1.0,712.0,daily,PUSH,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4cc7ee616dc2e8791764a0e6e7acb2d08d39bbb3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-04-21 05:38:17,0.0,0.0,,0.0
6614240,dropwizard/dropwizard,7.0,72.0,482.0,2211.0,2470.0,high,test+src+doc+other,18.0,Wednesday,1.0,715.0,daily,PUSH,1.0,1.0,1.0,0.0,1.0,,0.0,,1.0,,0.436367882928204,1.0,0.0,1.0,1.0,1.0,ea9d90ce1fb93efbcfdb339964c8ed0f47b56456,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-04-24 22:29:56,0.0,0.0,,0.0
6618238,dropwizard/dropwizard,5.0,72.0,577.0,3381.0,2999.0,high,test+src+other,22.0,Wednesday,1.0,716.0,daily,PUSH,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.4025911271864311,0.0,0.0,0.0,0.0,0.0,1a7ba7096ddaea9024eacb3d099076b717207734,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-04-25 02:53:21,0.0,0.0,,0.0
