"tr_build_id","gh_project_name","NC","nbr_auth","NMF","NLR","NLA","CX","FT","TD","WD","CTM","AX","ACF","BT","openjdk6","openjdk7","oraclejdk7","oraclejdk8","BS3","prev_BS3","BS2","prev_BS2","BS1","prev_BS1","entropy","MysteryGuest","GeneralFixture","AssertionRoulette","IndirectTesting","SensitiveEquality","commit","LongMethod","LongParameterList","ComplexClass","Blob","LazyClass","AntiSingleto","BaseClassShouldBeAbstract","RefusedParentBequest","ManyFieldAttributesButNotComplex","SpaghettiCode","SpeculativeGenerality","LargeClass","gh_build_started_at","old_PB","BC","DLF","exist_test"
2845654,"twitter/elephant-bird",1,1,3,10,299,"faible","src",17,"Thursday","0",271,"daily","UNKNOWN",0,0,0,0,1,NA,1,NA,1,NA,0.818506564443848,"","","","","","91aba71f2ce94bbd7cdd6015eb8510ca61474554",1,1,0,0,0,0,0,0,0,1,0,0,"2012-10-18 21:51:26",NA,NA,"",0
2846136,"twitter/elephant-bird",1,1,1,1,1,"faible","src",18,"Thursday","1",272,"daily","UNKNOWN",0,0,0,0,1,NA,1,NA,1,NA,0,"","","","","","2dbf6688c165f48ced5c92b92dd63dee16b6fe5a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-10-18 22:24:22",1,1,"less_day",0
2847245,"twitter/elephant-bird",2,8,17,19,19,"high","other",19,"Thursday","1",272,"daily","UNKNOWN",0,0,0,0,1,NA,1,NA,1,NA,0.982567593073363,"","","","","","1fa56133fbedf68412886bc1efd5322684c2b47d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-10-19 00:08:25",1,1,"less_day",0
2993913,"twitter/elephant-bird",1,1,1,1,10,"faible","src",16,"Tuesday","1",411,"daily","MERGE",0,0,0,0,1,NA,1,NA,1,NA,0,"","","","","","280e3e63b67dd8390bf6207d88a4e04c25065bda",1,0,0,0,0,0,0,0,0,1,0,0,"2012-10-30 20:40:40",1,1,"more_week_ago",0
2993915,"twitter/elephant-bird",1,1,1,0,1,"faible","other",16,"Tuesday","1",411,"daily","MERGE",0,0,0,0,1,NA,1,NA,1,NA,0,"","","","","","762797521185efa431836483bb3261bc9782d3c5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-10-30 20:42:12",1,1,"less_day",0
2993979,"twitter/elephant-bird",1,1,1,1,1,"faible","src",16,"Tuesday","1",411,"daily","MERGE",0,0,0,0,1,NA,1,NA,1,NA,0,"","","","","","3c3e163a8383856ed807a0b01d6a37276db8b4c4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-10-30 20:48:05",1,1,"less_day",0
3271837,"twitter/elephant-bird",1,1,2,0,55,"faible","src+other",17,"Monday","1",720,"daily","MERGE",0,0,0,0,1,NA,1,NA,1,NA,0.131106529582345,"","","","","","3e9ac58bdc56db8719520fccae601373b64f1cd8",0,0,0,0,0,0,0,0,0,0,0,0,"2012-11-19 22:23:00",1,1,"more_week_ago",0
3272080,"twitter/elephant-bird",1,1,2,1,36,"faible","src",17,"Monday","0",304,"daily","MERGE",0,0,0,0,1,NA,1,NA,1,NA,0.841852189756321,"","","","","","a4b27d9b2015b32dcdf6a3767c7ab35b3c34826e",1,1,0,0,0,0,0,0,0,1,0,0,"2012-11-19 22:39:06",1,1,"less_day",0
3272275,"twitter/elephant-bird",1,1,1,1,1,"faible","src",17,"Monday","1",304,"daily","PUSH",0,0,0,0,1,NA,1,NA,1,NA,0,"","","","","","20ad2f04099a557d8968fc9d3a3df3d52a3f67b1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-11-19 22:54:02",1,1,"less_day",0
3272307,"twitter/elephant-bird",1,1,1,1,1,"faible","src",17,"Monday","0",304,"daily","MERGE",0,0,0,0,1,NA,1,NA,1,NA,0,"","","","","","445f38106ceed6e84b1d23c563ea31d6e736c8cd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-11-19 22:57:57",1,1,"less_day",0
3272401,"twitter/elephant-bird",1,1,1,0,14,"faible","src",17,"Monday","1",304,"daily","PUSH",0,0,0,0,1,NA,1,NA,1,NA,0,"","","","","","b12e4300459b339f19cb23e32b9ca48b954d3b05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-11-19 23:00:59",1,1,"less_day",0
3273248,"twitter/elephant-bird",2,8,17,18,32,"high","other",18,"Monday","1",304,"daily","PUSH",0,0,0,0,1,NA,1,NA,1,NA,0.982567593073363,"","","","","","f70a3ed496bcf9c7e395fbb121211d54865e2ce9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-11-19 23:55:59",1,1,"less_day",0
3405811,"twitter/elephant-bird",1,1,1,14,23,"faible","src",14,"Wednesday","1",729,"daily","MERGE",0,0,0,0,1,NA,1,NA,1,NA,0,"","","","","","883dd6ad6b0133a238b8894f87778905770a6786",1,1,0,0,0,0,0,0,0,1,0,0,"2012-11-28 19:37:01",1,1,"more_week_ago",0
3655319,"twitter/elephant-bird",1,1,41,2,3781,"faible","src+other",18,"Thursday","1",745,"daily","MERGE",0,0,0,0,1,1,1,1,1,1,0.853728209950931,"","","","","","be76534c43715a1f654080fd314ae8346504dc3c",0,1,0,0,0,0,0,0,0,0,0,0,"2012-12-13 23:35:32",1,1,"more_week_ago",0
3711903,"twitter/elephant-bird",1,1,1,21,15,"faible","src",18,"Monday","1",749,"daily","MERGE",0,0,0,0,1,1,1,1,1,1,0,"","","","","","97666a95ab89fa950697074fc43782915b25dd91",0,0,0,0,0,0,0,0,0,0,0,0,"2012-12-17 23:04:22",1,1,"week_ago",0
3749143,"twitter/elephant-bird",1,1,1,0,6,"faible","src",18,"Wednesday","1",751,"daily","PUSH",0,0,0,0,1,1,1,1,1,1,0,"","","","","","77964ebe08bc4d23665aeaaa0f57402063b7cecc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-12-19 23:41:14",1,1,"week_ago",0
3848316,"twitter/elephant-bird",1,1,5,40,38,"faible","src",18,"Thursday","1",965,"daily","MERGE",0,0,0,0,1,1,1,1,1,1,0.984506577258279,"","","","","","3e1364b0eeb9b4b3f9547f5c4add98ee7d468136",1,0,0,0,0,0,0,0,0,0,0,0,"2012-12-27 23:37:14",1,1,"more_week_ago",0
3943316,"twitter/elephant-bird",1,1,1,0,4,"faible","src",19,"Thursday","1",766,"daily","MERGE",0,0,0,0,1,1,1,1,1,1,0,"","","","","","a3330645307aa4067338efc343673c99ca126cba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-01-04 01:00:40",1,1,"week_ago",0
4078815,"twitter/elephant-bird",1,1,6,40,42,"faible","src",18,"Thursday","1",773,"daily","MERGE",0,0,0,0,1,1,1,1,1,1,0.949970203113376,"","","","","","8952b04edddd4f34a41f53530ce9fe59d773fea6",1,0,0,0,0,0,0,0,0,0,0,0,"2013-01-10 23:30:49",1,1,"week_ago",0
4101882,"twitter/elephant-bird",1,1,1,0,58,"faible","src",19,"Friday","1",485,"daily","MERGE",0,0,0,0,1,1,1,1,1,1,0,"","","","","","fd3ca72527b65b1fd2a5eb1813dfb676994117e0",0,0,0,0,0,0,0,0,0,0,0,0,"2013-01-12 00:30:29",1,1,"day_ago",0
4434062,"twitter/elephant-bird",1,1,7,0,466,"faible","src+other",12,"Monday","1",790,"daily","MERGE",0,0,0,0,1,1,0,1,1,1,0.907001420300491,"","","","","","559a0a9852cb077449a9acefb541ad4cbcc38e5a",1,1,0,1,0,0,0,0,0,0,0,0,"2013-01-28 18:01:26",1,1,"more_week_ago",0
4437806,"twitter/elephant-bird",1,1,3,3,62,"faible","src",15,"Monday","1",790,"daily","MERGE",0,0,0,0,1,1,0,0,1,1,0.943343987744524,"","","","","","addee5f307484f95c64b479a9dfef53207ddee70",1,1,0,0,0,0,0,0,0,1,0,0,"2013-01-28 21:27:40",1,0.95,"more_week_ago",0
4438908,"twitter/elephant-bird",1,1,4,42,166,"faible","src",16,"Monday","1",790,"daily","MERGE",0,0,0,0,1,1,0,0,1,1,0.80161599146254,"","","","","","57553d6d6ae506fc0145b8eaf7b60ec0f81993cf",1,1,0,0,0,0,0,0,0,1,0,0,"2013-01-28 22:24:08",1,0.9,"more_week_ago",0
4576878,"twitter/elephant-bird",1,1,1,1,3,"faible","src",14,"Monday","1",1004,"daily","MERGE",0,0,0,0,1,1,0,0,1,1,0,"","","","","","960961f288fdca184179d26fefe1c2df6146c7a5",0,0,0,0,0,0,0,0,0,0,0,0,"2013-02-04 20:04:01",0,0.85,"more_week_ago",0
4632325,"twitter/elephant-bird",1,1,1,0,4,"faible","src",20,"Wednesday","1",800,"daily","MERGE",0,0,0,0,1,1,0,0,1,1,0,"","","","","","766d865507b351a686545a6e1620a1b9f4c6fc45",1,1,0,0,0,0,0,0,0,0,0,0,"2013-02-07 02:53:36",0,0.8,"more_week_ago",0
4660234,"twitter/elephant-bird",1,1,1,0,14,"faible","src",2,"Friday","1",801,"daily","PUSH",0,0,0,0,1,1,0,0,1,1,0,"","","","","","a77c827d3ad3c385ff9d50e4be07cd577d253f1d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-02-08 07:35:32",0,0.75,"more_week_ago",0
4661281,"twitter/elephant-bird",2,8,21,22,36,"high","other",2,"Friday","1",801,"daily","PUSH",0,0,0,0,1,1,0,0,1,1,0.986659958673865,"","","","","","468dd30cc58d1c578341ef494077c705fa568adb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-02-08 08:41:51",0,0.7,"more_week_ago",0
4994228,"twitter/elephant-bird",1,1,1,5,12,"faible","src",19,"Friday","1",816,"daily","MERGE",0,0,0,0,1,1,0,0,1,1,0,"","","","","","567381a3f7943c7f6e955f2ae13e528b236daf13",0,0,0,0,0,0,0,0,0,1,0,0,"2013-02-23 00:54:24",0,0.63,"more_week_ago",0
5079663,"twitter/elephant-bird",1,1,1,0,5,"faible","src",13,"Tuesday","1",819,"daily","MERGE",0,0,0,0,1,1,0,0,1,1,0,"","","","","","f6ae530fb7e0c3c6ff66234ed534221d67f18518",0,0,0,0,0,0,0,0,0,1,0,0,"2013-02-26 19:07:10",0,0.6,"more_week_ago",0
