tr_build_id,gh_project_name,NC,nbr_auth,NMF,NLR,NLA,CX,FT,TD,WD,CTM,AX,ACF,BT,openjdk6,openjdk7,oraclejdk7,oraclejdk8,BS3,prev_BS3,BS2,prev_BS2,BS1,prev_BS1,entropy,MysteryGuest,GeneralFixture,AssertionRoulette,IndirectTesting,SensitiveEquality,commit,LongMethod,LongParameterList,ComplexClass,Blob,LazyClass,AntiSingleto,BaseClassShouldBeAbstract,RefusedParentBequest,ManyFieldAttributesButNotComplex,SpaghettiCode,SpeculativeGenerality,LargeClass,gh_build_started_at,old_PB,BC,DLF,exist_test
11904988,geoserver/geoserver,4.0,66.0,17.0,54.0,418.0,faible,test+src+other,12.0,Saturday,1.0,450.0,daily,UNKNOWN,0.0,0.0,0.0,0.0,1.0,,0.0,,1.0,,0.188238892563249,,,,,,010b2a69d953f93b0812d39ad140009017848388,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-09-28 16:16:04,,,,0.0
11905123,geoserver/geoserver,1.0,1.0,1.0,1.0,1.0,faible,other,12.0,Saturday,1.0,450.0,daily,UNKNOWN,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,,,,,0a1454972b869687d6da6bf6b02e7d8ac7dc8208,,,,,,,,,,,,,2013-09-28 16:19:56,0.0,0.0,,0.0
11905258,geoserver/geoserver,1.0,1.0,1.0,0.0,4.0,faible,other,12.0,Saturday,1.0,450.0,daily,UNKNOWN,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,63c949ad930ceb627dc9e46ceb564371d1426b8f,,,,,,,,,,,,,2013-09-28 16:24:50,1.0,0.5,less_day,0.0
11905554,geoserver/geoserver,1.0,1.0,1.0,1.0,4.0,faible,other,12.0,Saturday,1.0,450.0,daily,UNKNOWN,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,7175797309f32aaa22392c171b482715a44bfb88,,,,,,,,,,,,,2013-09-28 16:32:24,0.0,0.33,less_day,0.0
11909050,geoserver/geoserver,1.0,1.0,2.0,25.0,6.0,faible,test+src,15.0,Saturday,1.0,450.0,daily,UNKNOWN,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7706290693639399,0.0,0.0,0.0,0.0,0.0,200dd3c4ab0074cc0dabd6625c545c8e7859eaf6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-09-28 19:04:54,1.0,0.5,less_day,1.0
11939345,geoserver/geoserver,1.0,1.0,12.0,139.0,287.0,faible,src+other,16.0,Sunday,1.0,380.0,daily,MERGE,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6025289419112121,1.0,0.0,0.0,0.0,0.0,1a2445df8e82f7610f21831785669bff0e9033ff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-09-29 20:50:28,1.0,0.6,day_ago,1.0
11939991,geoserver/geoserver,1.0,1.0,8.0,23.0,52.0,faible,doc+other,17.0,Sunday,1.0,383.0,monthly,MERGE,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8043421511986,,,,,,86069528dd52c699afd75e8dacddf6838dccb33e,,,,,,,,,,,,,2013-09-29 21:15:03,1.0,0.67,less_day,0.0
11940402,geoserver/geoserver,1.0,1.0,1.0,1.0,1.0,faible,src,17.0,Sunday,1.0,380.0,daily,PUSH,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,ff08a13b2d5af9c608af2c79f408a35f30a61664,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-09-29 21:29:00,1.0,0.71,less_day,1.0
11940428,geoserver/geoserver,1.0,1.0,8.0,21.0,91.0,moy,test+src,17.0,Sunday,1.0,380.0,daily,PR,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8402260549401629,1.0,0.0,1.0,0.0,0.0,836c363b1070aca13ad7e5f838db3db25c64de3c,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-09-29 21:30:20,1.0,0.75,less_day,1.0
11961149,geoserver/geoserver,1.0,1.0,3.0,5.0,5.0,faible,src+other,9.0,Monday,1.0,381.0,daily,PUSH,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9118009987348871,0.0,0.0,0.0,0.0,0.0,babca3a509c1901ae4c4fb203df8064b65cc0707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-09-30 13:15:20,1.0,0.75,less_day,1.0
11970184,geoserver/geoserver,1.0,1.0,5.0,38.0,196.0,faible,test+src+other,12.0,Monday,1.0,271.0,monthly,PR,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6766359462701291,0.0,0.0,0.0,0.0,0.0,79c756c2ccf4a2c2ec051cefba393854df95a3c5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-09-30 16:52:19,1.0,0.78,less_day,1.0
11970192,geoserver/geoserver,1.0,1.0,5.0,38.0,196.0,faible,src+other,12.0,Monday,1.0,165.0,monthly,MERGE,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6766359462701291,0.0,0.0,0.0,0.0,0.0,b44b00e4c2835fc86d2bc505cc607bb9eef7c896,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-09-30 16:52:51,1.0,0.78,less_day,1.0
11970815,geoserver/geoserver,3.0,66.0,12.0,84.0,400.0,faible,test+src+other,13.0,Monday,1.0,271.0,monthly,UNKNOWN,0.0,0.0,0.0,0.0,1.0,,1.0,,1.0,,0.186545705509844,,,,,,7dd05ed28a7fc8b400d6f26ca9b717208d488e8f,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-09-30 17:08:15,,,,0.0
