tr_build_id,gh_project_name,NC,nbr_auth,NMF,NLR,NLA,CX,FT,TD,WD,CTM,AX,ACF,BT,openjdk6,openjdk7,oraclejdk7,oraclejdk8,BS3,prev_BS3,BS2,prev_BS2,BS1,prev_BS1,entropy,MysteryGuest,GeneralFixture,AssertionRoulette,IndirectTesting,SensitiveEquality,commit,LongMethod,LongParameterList,ComplexClass,Blob,LazyClass,AntiSingleto,BaseClassShouldBeAbstract,RefusedParentBequest,ManyFieldAttributesButNotComplex,SpaghettiCode,SpeculativeGenerality,LargeClass,gh_build_started_at,old_PB,BC,DLF,exist_test
55235581,grpc/grpc-java,34.0,13.0,211.0,1321.0,3486.0,high,test+src+other,17.0,Friday,1.0,63.0,daily,UNKNOWN,0.0,0.0,0.0,1.0,1.0,,1.0,,1.0,,0.136742595125082,1.0,0.0,0.0,1.0,1.0,a0acb9b9a8746f1e996e57f2ec397b9548110cd0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2015-03-20 21:31:43,,,,1.0
55237630,grpc/grpc-java,1.0,1.0,1.0,4.0,0.0,faible,src,17.0,Friday,1.0,63.0,daily,UNKNOWN,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,2f3c173179b780db6ffa72caf940a0fac3b5dc96,,,,,,,,,,,,,2015-03-20 21:51:24,1.0,1.0,less_day,0.0
55294734,grpc/grpc-java,1.0,1.0,1.0,14.0,15.0,faible,test+src,11.0,Saturday,1.0,4.0,daily,PUSH,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79ef04bc91e053069b7e069253329b400449a424,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2015-03-21 15:07:27,1.0,1.0,less_day,1.0
55300158,grpc/grpc-java,1.0,1.0,1.0,1.0,2.0,faible,src,12.0,Saturday,1.0,63.0,daily,PUSH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7865b031e1402b9bf2577485ad610db78c068490,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2015-03-21 16:18:56,0.0,0.67,less_day,1.0
55411786,grpc/grpc-java,1.0,1.0,3.0,11.0,101.0,faible,test+src,8.0,Sunday,0.0,0.0,single,PUSH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.766578188925803,1.0,0.0,0.0,0.0,1.0,9175d9d79e48337ff82be4c9aa7898c79eb9ef0e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-03-22 21:49:06,0.0,0.5,week_ago,1.0
55510000,grpc/grpc-java,1.0,1.0,6.0,7.0,31.0,faible,src+other,12.0,Monday,1.0,65.0,daily,PUSH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8630766203802621,0.0,0.0,0.0,0.0,0.0,26141b445d53971cdc53beab57745827ae8bb9de,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-03-23 16:16:02,0.0,0.4,week_ago,1.0
55511128,grpc/grpc-java,1.0,1.0,1.0,0.0,1.0,faible,other,12.0,Monday,1.0,65.0,daily,PUSH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,b1201e7c3e17cccaa343a51f5a820e0c71d518d8,,,,,,,,,,,,,2015-03-23 16:29:43,0.0,0.33,week_ago,0.0
55511424,grpc/grpc-java,1.0,1.0,2.0,2.0,2.0,faible,src,12.0,Monday,1.0,65.0,daily,PUSH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,bcb3e8cef424e3cecca4255e31545bf3174336ce,,,,,,,,,,,,,2015-03-23 16:25:32,0.0,0.29,week_ago,0.0
55511838,grpc/grpc-java,1.0,1.0,2.0,3.0,27.0,faible,test+src+other,12.0,Monday,1.0,65.0,daily,PUSH,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.566509506552905,0.0,0.0,0.0,0.0,0.0,d8fb6f0badc5df9ec9da8282d5f3d2a83c58ea87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-03-23 16:36:37,0.0,0.25,week_ago,1.0
55514515,grpc/grpc-java,1.0,1.0,2.0,2.0,2.0,faible,src,12.0,Monday,1.0,65.0,daily,PUSH,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,,,,,,bcb3e8cef424e3cecca4255e31545bf3174336ce,,,,,,,,,,,,,2015-03-23 16:44:13,0.0,0.29,week_ago,0.0
55673674,grpc/grpc-java,2.0,13.0,5.0,14.0,42.0,faible,src+other,12.0,Tuesday,1.0,66.0,daily,PUSH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164849128701523,0.0,0.0,0.0,0.0,0.0,a3b353ce541b376e8f70a675abf2327606cdd4b6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-03-24 18:38:51,1.0,0.33,day_ago,1.0
55676253,grpc/grpc-java,1.0,1.0,5.0,89.0,113.0,faible,test+src,13.0,Tuesday,1.0,74.0,daily,PUSH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.961438372217558,0.0,0.0,0.0,0.0,0.0,ab9f82756a2d7bc565973ddd305d8f974b04f5c1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2015-03-24 18:40:52,0.0,0.3,day_ago,1.0
55678159,grpc/grpc-java,1.0,1.0,1.0,4.0,6.0,faible,src,13.0,Tuesday,1.0,74.0,daily,PUSH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6407c185783d931db47cc5b6cb4bf99d06064d50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-03-24 18:44:47,0.0,0.2,day_ago,1.0
55837380,grpc/grpc-java,1.0,1.0,2.0,8.0,7.0,faible,test+src,14.0,Wednesday,1.0,67.0,daily,PUSH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996791631981637,0.0,0.0,0.0,0.0,0.0,e515c772cd81cc4ee1b6f24c1c36afbaac1c2ebb,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2015-03-25 19:15:20,0.0,0.1,week_ago,1.0
55975893,grpc/grpc-java,1.0,1.0,1.0,3.0,5.0,faible,src,10.0,Thursday,1.0,68.0,daily,PUSH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b48b4db3fb3577ed21da8f05e3c0428a991e3eed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-03-26 16:36:11,0.0,0.1,week_ago,1.0
