"tr_build_id","gh_project_name","NC","nbr_auth","NMF","NLR","NLA","CX","FT","TD","WD","CTM","AX","ACF","BT","openjdk6","openjdk7","oraclejdk7","oraclejdk8","BS3","prev_BS3","BS2","prev_BS2","BS1","prev_BS1","entropy","MysteryGuest","GeneralFixture","AssertionRoulette","IndirectTesting","SensitiveEquality","commit","LongMethod","LongParameterList","ComplexClass","Blob","LazyClass","AntiSingleto","BaseClassShouldBeAbstract","RefusedParentBequest","ManyFieldAttributesButNotComplex","SpaghettiCode","SpeculativeGenerality","LargeClass","gh_build_started_at","old_PB","BC","DLF","exist_test"
26979602,"spotify/helios",2,10,364,225,37014,"high","src+other",17,"Friday","1",0,"daily","UNKNOWN",0,0,1,0,0,NA,0,NA,0,NA,0.469161332092461,"1","0","1","1","1","5bff3fb325b345318bd2955e2476b41dd2de951f",1,1,0,0,1,1,0,0,0,1,0,0,"2014-06-06 21:34:51",1,0.36,"",1
26982271,"spotify/helios",1,1,1,0,1,"faible","other",17,"Friday","1",0,"daily","UNKNOWN",0,1,1,0,1,0,1,0,1,0,0,"","","","","","cf97a9679accf3f5bfb60235984ad0980cee4a5c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-06-06 21:46:49",0,0.35,"",0
26984285,"spotify/helios",3,10,348,6,36813,"high","test+src+other",18,"Friday","1",0,"daily","UNKNOWN",0,0,1,0,0,1,0,1,0,NA,0.312774221394974,"1","0","1","1","1","102a6bdad33d92d43142881d4debe39d4f68523a",1,1,0,0,1,1,0,0,0,1,0,0,"2014-06-06 22:18:59",1,0.36,"",1
26985752,"spotify/helios",1,1,1,2,2,"faible","other",18,"Friday","1",0,"daily","UNKNOWN",0,0,1,0,1,1,1,1,1,NA,0,"","","","","","47a5483090ef830617c3287431693bff4fcca333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-06-06 22:41:43",0,0.35,"",0
26987344,"spotify/helios",1,1,1,2,2,"faible","other",18,"Friday","1",0,"daily","UNKNOWN",0,1,1,0,1,1,1,1,1,1,0,"","","","","","47a5483090ef830617c3287431693bff4fcca333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-06-07 00:57:09",0,0.35,"",0
26993506,"spotify/helios",1,1,29,416,369,"moy","test+src",22,"Friday","1",0,"daily","PUSH",0,0,1,0,0,1,0,1,0,1,0.712529444671731,"1","0","0","0","1","e69cd1ff13aa7b10146e395abdb89dbfa54b4245",1,1,0,0,0,0,0,0,0,1,0,0,"2014-06-07 02:18:33",NA,0.41,"",1
26993508,"spotify/helios",1,1,29,416,369,"moy","test+src",22,"Friday","1",0,"daily","PR",0,1,1,0,0,1,0,1,0,1,0.712529444671731,"1","0","0","0","1","e69cd1ff13aa7b10146e395abdb89dbfa54b4245",1,1,0,0,0,0,0,0,0,1,0,0,"2014-06-07 02:18:41",1,0.41,"less_day",1
26993934,"spotify/helios",1,1,31,422,403,"faible","src+other",22,"Friday","1",0,"daily","MERGE",0,1,1,0,0,1,0,1,0,1,0.727286464721873,"1","0","0","0","1","ba91aa55c6e7e31f42f43a08f97065472e0852c3",1,1,0,0,0,1,0,0,0,1,0,0,"2014-06-07 02:34:45",1,0.42,"less_day",1
27023702,"spotify/helios",1,1,2,15,33,"faible","src+other",13,"Saturday","1",0,"daily","PUSH",0,1,1,0,0,1,0,1,0,NA,0.937734293986804,"","","","","","d14c3468281cc9ed2c9fbc44e653556c308d09c5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-06-07 17:08:47",0,0.45,"less_day",0
27023708,"spotify/helios",1,1,2,15,33,"faible","src+other",13,"Saturday","1",0,"daily","PR",0,1,1,0,1,0,1,0,1,0,0.937734293986804,"","","","","","d14c3468281cc9ed2c9fbc44e653556c308d09c5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-06-07 17:08:26",0,0.45,"less_day",0
27024881,"spotify/helios",1,1,1,1,1,"faible","test+src",13,"Saturday","1",0,"daily","PUSH",0,1,1,0,0,0,0,0,0,0,0,"0","0","0","0","0","24c2c45af416ee0e95b21a1e7b8adb1fe7b24cd7",1,1,0,0,0,0,0,0,0,1,0,0,"2014-06-07 17:29:03",1,0.5,"less_day",1
27025938,"spotify/helios",1,1,1,1,1,"faible","test+src",13,"Saturday","1",0,"daily","PUSH",0,1,1,0,0,0,0,0,0,0,0,"0","0","0","0","0","24c2c45af416ee0e95b21a1e7b8adb1fe7b24cd7",1,1,0,0,0,0,0,0,0,1,0,0,"2014-06-07 17:49:10",1,0.5,"less_day",1
27045869,"spotify/helios",1,1,2,3,3,"faible","src",22,"Saturday","1",1,"daily","PUSH",0,1,1,0,0,0,0,0,0,0,0.91829583405449,"0","0","0","0","0","ff209dbeaea96bc37be1290b405a653f441c8a9d",1,0,0,0,0,0,0,0,0,0,0,0,"2014-06-08 02:58:30",0,0.5,"less_day",1
27266050,"spotify/helios",3,10,9,29,359,"faible","src+other",19,"Tuesday","1",4,"daily","PUSH",0,1,1,0,0,NA,0,NA,0,NA,0.208764971490336,"1","0","0","0","0","5faa820737d54464b8fad8f2a8db3c57f66d84ef",1,1,0,0,0,0,0,0,0,1,0,0,"2014-06-10 23:21:52",0,0.5,"week_ago",1
27266118,"spotify/helios",3,10,16,55,715,"faible","src+other",19,"Tuesday","1",4,"daily","PR",0,1,1,0,0,0,0,0,0,0,0.208764971490336,"1","0","0","0","0","5faa820737d54464b8fad8f2a8db3c57f66d84ef",1,1,0,0,0,0,0,0,0,1,0,0,"2014-06-10 23:23:52",0,0.5,"week_ago",1
27318833,"spotify/helios",1,1,7,26,356,"faible","src+other",11,"Wednesday","1",0,"daily","MERGE",0,1,1,0,0,0,0,0,0,0,0.685645937451179,"1","0","0","0","0","51004d6eee94b573ced12aab915fc3726d0f9692",1,1,0,0,0,0,0,0,0,1,0,0,"2014-06-11 16:57:12",0,0.47,"week_ago",1
27332168,"spotify/helios",1,1,2,5,1,"faible","other",13,"Wednesday","1",4,"daily","PUSH",0,1,1,0,0,NA,0,NA,0,NA,0.91829583405449,"","","","","","66e7485a367e5317c60fb84e7624f181597db96d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-06-11 18:43:20",0,0.43,"week_ago",0
27335206,"spotify/helios",1,1,2,5,1,"faible","other",13,"Wednesday","1",4,"daily","PR",0,1,1,0,0,0,0,0,0,0,0.91829583405449,"","","","","","66e7485a367e5317c60fb84e7624f181597db96d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-06-11 18:18:20",0,0.43,"week_ago",0
27343026,"spotify/helios",1,1,2,5,1,"faible","other",15,"Wednesday","1",0,"daily","MERGE",0,1,1,0,0,0,0,0,0,0,0.91829583405449,"","","","","","f23b9d0408822ad3cf3fdf2c494aaab6163c9b74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-06-11 19:56:40",0,0.4,"week_ago",0
27433861,"spotify/helios",2,10,4,19,42,"faible","src",15,"Thursday","1",5,"daily","PUSH",0,1,1,0,0,NA,0,NA,0,NA,0,"","","","","","3ce62e1c7ec5d48b1a06d65f575295040a5cbecd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-06-12 19:36:42",0,0.33,"week_ago",0
27436246,"spotify/helios",2,10,6,33,83,"faible","src",15,"Thursday","1",5,"daily","PR",0,1,1,0,0,0,0,0,0,0,0,"","","","","","3ce62e1c7ec5d48b1a06d65f575295040a5cbecd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-06-12 20:06:21",0,0.33,"week_ago",0
