"tr_build_id","gh_project_name","NC","nbr_auth","NMF","NLR","NLA","CX","FT","TD","WD","CTM","AX","ACF","BT","openjdk6","openjdk7","oraclejdk7","oraclejdk8","BS3","prev_BS3","BS2","prev_BS2","BS1","prev_BS1","entropy","MysteryGuest","GeneralFixture","AssertionRoulette","IndirectTesting","SensitiveEquality","commit","LongMethod","LongParameterList","ComplexClass","Blob","LazyClass","AntiSingleto","BaseClassShouldBeAbstract","RefusedParentBequest","ManyFieldAttributesButNotComplex","SpaghettiCode","SpeculativeGenerality","LargeClass","gh_build_started_at","old_PB","BC","DLF","exist_test"
39458061,"myui/hivemall",2,6,3,1,8,"faible","other",1,"Thursday","1",398,"daily","UNKNOWN",1,1,1,1,1,NA,1,NA,1,NA,0,"","","","","","255294bb05a6457c17d843da366d997be1097109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-10-30 05:24:19",NA,NA,"",0
39458207,"myui/hivemall",1,1,1,0,1,"faible","src",1,"Thursday","1",398,"daily","UNKNOWN",1,1,1,1,1,NA,0,NA,1,NA,0,"","","","","","675f89735391c3567eac8e6a0a3a14f3c2b60f99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-10-30 05:21:26",1,1,"less_day",0
39459054,"myui/hivemall",1,1,1,3,1,"faible","other",1,"Thursday","1",398,"daily","UNKNOWN",1,1,1,1,1,1,1,0,1,1,0,"","","","","","0d17e519cf92f814f45c9c813933f4c3f8b9af95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-10-30 05:48:31",0,0.5,"less_day",0
39460894,"myui/hivemall",3,6,4,11,16,"faible","test+src+other",2,"Thursday","1",398,"daily","UNKNOWN",1,1,1,1,1,1,0,1,1,1,0,"","","","","","393e441b7d597c60dff90e7ecf96ab295f0e3b5c",1,0,0,0,0,0,0,0,0,0,0,0,"2014-10-30 06:35:32",NA,NA,"",0
39460899,"myui/hivemall",1,1,1,6,9,"faible","src",2,"Thursday","1",398,"daily","UNKNOWN",1,1,1,1,1,1,0,1,1,1,0,"0","0","0","0","0","afc3e4cd0c8ccb0da431a65a7550e5405c714faa",1,0,0,0,0,0,0,0,0,0,0,0,"2014-10-30 06:35:28",1,0.67,"less_day",1
39488013,"myui/hivemall",2,6,4,31,114,"faible","test+src",9,"Thursday","1",399,"daily","PR",1,1,1,1,1,1,1,0,1,1,0.308666397098804,"1","0","0","0","0","033bdcb516191c5698104524cef248eda3b86670",1,0,0,0,0,0,0,0,0,0,0,0,"2014-10-30 13:16:25",0,0,"",1
39490051,"myui/hivemall",1,1,1,1,1,"faible","test+src",9,"Thursday","1",399,"daily","PR",1,1,1,1,0,1,0,0,0,1,0,"0","0","0","0","0","6f870737435240c3d635e615e18526ea2c047591",1,0,0,0,0,0,0,0,0,0,0,0,"2014-10-30 13:39:23",1,0.5,"less_day",1
39490794,"myui/hivemall",1,1,3,25,105,"faible","src",9,"Thursday","1",399,"daily","MERGE",1,1,1,1,1,1,1,0,1,1,0.861846032341002,"1","0","0","0","0","31862dd56e1753666f09923a71a5e75eb5874f77",1,0,0,0,0,0,0,0,0,0,0,0,"2014-10-30 13:48:03",0,0.5,"less_day",1
39497083,"myui/hivemall",1,1,1,0,8,"faible","other",10,"Thursday","0",1,"other","PR",1,1,1,1,0,1,0,1,0,1,0,"","","","","","69a3ca1fad9649c4b2d607ad6be4e8f409e8e8de",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-10-30 14:47:19",1,0.6,"less_day",0
39497385,"myui/hivemall",1,1,2,6,6,"faible","test+src",10,"Thursday","1",399,"daily","PR",1,1,1,1,1,1,1,1,1,1,0.650022421648354,"1","0","0","0","0","d435213c910f833f3ce3575b05a7689a7095da19",1,0,0,0,0,0,0,0,0,0,0,0,"2014-10-30 14:48:45",0,0.33,"less_day",1
39499346,"myui/hivemall",1,1,1,0,8,"faible","other",11,"Thursday","1",399,"daily","MERGE",1,1,1,1,1,1,1,1,1,1,0,"","","","","","98c9e48fc28b750101e930851fbe8fe951faca42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-10-30 15:05:16",1,0.6,"less_day",0
39501286,"myui/hivemall",1,1,1,1,1,"faible","other",11,"Thursday","1",399,"daily","PR",1,1,1,1,0,1,0,1,0,1,0,"","","","","","43f39b366a5142d3f8e21ae75a49237c1a72c56c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-10-30 15:24:53",1,0.5,"less_day",0
39503310,"myui/hivemall",1,1,3,7,7,"faible","src+other",11,"Thursday","1",399,"daily","MERGE",1,1,1,1,0,1,0,1,0,1,0.72483409150576,"1","0","0","0","0","e5a22e16658120664564d68e3a75e58b5f008eff",1,0,0,0,0,0,0,0,0,0,0,0,"2014-10-30 15:38:39",1,0.67,"less_day",1
39516443,"myui/hivemall",1,1,12,30,23,"moy","test+src",13,"Thursday","0",1,"other","PR",1,1,1,1,0,0,0,0,0,0,0.81582145471707,"0","0","0","0","0","ed6d76c9077393e8b0bc9caa7abe42298d3f666f",1,0,0,0,0,0,0,0,0,1,0,0,"2014-10-30 17:38:05",0,0.57,"less_day",1
39561014,"myui/hivemall",1,1,12,30,23,"faible","src",22,"Thursday","1",399,"daily","MERGE",1,1,1,1,0,0,0,0,0,0,0.81582145471707,"0","0","0","0","0","7378e5eba483c4a214c81e88e6f2290fb39c9039",1,0,0,0,0,0,0,0,0,1,0,0,"2014-10-31 02:38:07",0,0.57,"less_day",1
