"tr_build_id","gh_project_name","NC","nbr_auth","NMF","NLR","NLA","CX","FT","TD","WD","CTM","AX","ACF","BT","openjdk6","openjdk7","oraclejdk7","oraclejdk8","BS3","prev_BS3","BS2","prev_BS2","BS1","prev_BS1","entropy","MysteryGuest","GeneralFixture","AssertionRoulette","IndirectTesting","SensitiveEquality","commit","LongMethod","LongParameterList","ComplexClass","Blob","LazyClass","AntiSingleto","BaseClassShouldBeAbstract","RefusedParentBequest","ManyFieldAttributesButNotComplex","SpaghettiCode","SpeculativeGenerality","LargeClass","gh_build_started_at","old_PB","BC","DLF","exist_test"
5991191,"eclipse/jetty.project",7,6,34,226,1033,"high","test+src+other",12,"Tuesday","0",1477,"daily","UNKNOWN",0,1,1,0,1,NA,1,NA,1,NA,0.254162638747976,"1","0","1","1","0","91b3ee638d2db73eda0fc774c2181128e7a728fc",1,1,0,0,0,0,0,0,1,1,0,0,"2013-04-02 16:36:46",NA,NA,"",1
5997354,"eclipse/jetty.project",1,1,1,1,75,"faible","other",16,"Tuesday","0",1398,"daily","UNKNOWN",0,1,1,0,1,1,1,1,1,1,0,"","","","","","f7eb78d849db11f5a398fb1a4eeacf6265b6c142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-04-02 20:31:19",1,1,"less_day",0
6011417,"eclipse/jetty.project",1,1,2,27,91,"faible","src",5,"Wednesday","0",1398,"daily","MERGE",0,0,0,0,1,NA,1,NA,1,NA,0.253067937265629,"","","","","","ce7629c66378d00dbc58f4869e53a2f39dccdd29",0,0,0,0,0,0,0,0,0,1,0,0,"2013-04-03 09:31:35",1,1,"less_day",0
6011419,"eclipse/jetty.project",16,6,106,347,1051,"high","test+src+other",5,"Wednesday","0",1398,"daily","PUSH",0,0,0,0,1,NA,1,NA,1,NA,0.14119421416729,"","","","","","5df26a6a57232cb4f7c7f7cbb0dfc032a00d4c7b",1,0,0,0,0,0,1,0,1,1,0,0,"2013-04-03 09:31:43",NA,NA,"",0
6011421,"eclipse/jetty.project",1,1,2,27,91,"faible","src",5,"Wednesday","0",1398,"daily","MERGE",0,1,1,0,1,1,1,1,1,1,0.253067937265629,"0","0","0","0","0","2bd6a703f91202b4cb223defcd4e71d3e34403f7",0,0,0,0,0,0,0,0,0,1,0,0,"2013-04-03 09:31:33",1,1,"less_day",1
6018057,"eclipse/jetty.project",1,1,1,0,4,"faible","other",10,"Wednesday","0",1478,"daily","MERGE",0,1,1,0,1,1,1,1,1,1,0,"","","","","","6f80105d74746ab7013e6435bee18ecedfe52d0e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-04-03 15:03:42",1,0.67,"less_day",0
6018060,"eclipse/jetty.project",1,1,1,0,4,"faible","other",10,"Wednesday","0",1478,"daily","PUSH",0,1,1,0,1,1,0,1,1,1,0,"","","","","","05b2d988b0a2afa39889013d5a61478c726f8e56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-04-03 15:03:56",1,1,"less_day",0
6037536,"eclipse/jetty.project",1,1,143,1481,10550,"faible","src+other",22,"Wednesday","0",1463,"daily","MERGE",0,1,1,0,1,NA,0,NA,1,NA,0.862293982167617,"","","","","","7523c5234ca9d4a6faa03df23458f7f2f80ce07c",1,1,0,1,0,0,1,0,1,1,0,0,"2013-04-04 03:03:20",1,1,"less_day",0
6038991,"eclipse/jetty.project",2,6,145,1524,10636,"faible","src",0,"Thursday","0",1471,"daily","PUSH",0,1,1,0,1,1,1,0,1,1,0,"0","0","0","0","0","df6e18cc0037d91b5986c5b689eec7bf5f13066f",0,0,0,0,0,0,0,0,0,1,0,0,"2013-04-04 05:01:17",0,0.5,"less_day",1
6039385,"eclipse/jetty.project",1,1,5,73,104,"faible","src",1,"Thursday","0",1471,"daily","MERGE",0,1,1,0,1,1,1,1,1,1,0.52215256306166,"0","0","0","0","0","e9185aa062283e672092641f44ac5d42660ff696",1,1,0,0,0,0,0,0,0,1,0,0,"2013-04-04 05:36:30",1,0.83,"less_day",1
6039388,"eclipse/jetty.project",1,1,3,30,18,"faible","src",1,"Thursday","0",1471,"daily","PUSH",0,1,1,0,1,1,1,1,1,1,0.5888559465521,"0","0","0","0","0","060389147bbdec48a3a9e24fb07b8c2db148a6f8",1,1,0,0,0,0,0,0,0,1,0,0,"2013-04-04 05:31:28",1,0.67,"less_day",1
6050095,"eclipse/jetty.project",1,1,2,14,68,"faible","test+src",9,"Thursday","1",610,"daily","PUSH",0,1,1,0,1,1,1,1,1,1,0.993123177019224,"1","0","1","0","0","fc31a16c238f68e570d0713206ac834f2040af83",1,0,0,0,0,0,0,0,0,1,0,0,"2013-04-04 13:31:20",1,1,"day_ago",1
6059298,"eclipse/jetty.project",1,1,29,160,1309,"faible","src+other",15,"Thursday","0",1365,"daily","MERGE",0,1,1,0,1,NA,0,NA,1,NA,0.580389002849546,"","","","","","4dea484853b3ca8d732049861f58b121ab57b041",1,1,0,0,0,0,0,0,0,1,0,0,"2013-04-04 19:32:19",1,1,"less_day",0
6064085,"eclipse/jetty.project",1,1,14,51,641,"faible","src+other",17,"Thursday","0",1472,"daily","MERGE",0,1,1,0,1,1,1,1,1,1,0.554311611245543,"1","0","1","0","0","5d451e5fec117cbd65683b035b045ca65bec02a5",1,1,0,0,0,0,0,0,0,1,0,0,"2013-04-04 22:01:39",1,0.91,"less_day",1
6065624,"eclipse/jetty.project",2,6,16,57,644,"faible","src",18,"Thursday","0",1472,"daily","PUSH",0,1,1,0,1,1,1,1,1,1,0,"1","0","1","0","1","b58066451e08b540d03d43498a293706142085d8",1,0,0,1,0,0,0,0,0,1,0,0,"2013-04-04 23:01:19",1,0.75,"less_day",1
6065627,"eclipse/jetty.project",1,1,1,3,2,"faible","src",18,"Thursday","0",1472,"daily","MERGE",0,1,1,0,1,1,1,1,1,1,0,"1","0","1","0","1","6b3cb20720c12e83845a0fe8fa347376f240a9f2",1,0,0,1,0,0,0,0,0,1,0,0,"2013-04-04 23:01:21",1,0.88,"less_day",1
6065645,"eclipse/jetty.project",1,1,1,3,2,"faible","src",18,"Thursday","0",1472,"daily","MERGE",0,1,1,0,1,1,1,1,1,1,0,"1","0","1","0","1","4be4c954a5a7569155154fc2ce9923020f42c47a",1,0,0,1,0,0,0,0,0,1,0,0,"2013-04-04 23:01:51",1,0.93,"less_day",1
6066471,"eclipse/jetty.project",1,1,1,1,0,"faible","src",19,"Thursday","0",1400,"daily","PUSH",0,1,1,0,1,1,1,1,1,1,0,"1","0","1","0","0","c5931ad56fc4b9351f10c9eafdb65a7f1c3b267b",0,0,0,0,0,0,0,0,0,1,0,0,"2013-04-04 23:31:21",1,0.93,"less_day",1
6071767,"eclipse/jetty.project",1,1,1,1,23,"faible","src",0,"Friday","0",1472,"daily","PUSH",0,1,1,0,1,1,1,1,1,1,0,"0","0","0","0","0","39d690ed2aa1b5e52104e1a3ff0e14816ba5cc27",0,0,0,0,0,0,0,0,0,1,0,0,"2013-04-05 05:01:04",1,0.94,"less_day",1
6072596,"eclipse/jetty.project",1,1,2,8,64,"faible","test+src",1,"Friday","0",1472,"daily","PUSH",0,1,1,0,1,1,1,1,1,1,0.738284866143451,"0","0","0","0","0","cada28e8cfc0d5b561829296977af8b29b84ad48",1,1,0,0,0,0,0,0,0,1,0,0,"2013-04-05 06:01:18",1,0.8,"less_day",1
6072608,"eclipse/jetty.project",1,1,2,8,64,"faible","src",1,"Friday","0",1472,"daily","MERGE",0,1,1,0,1,1,1,1,1,1,0.738284866143451,"0","0","0","0","0","abcb4f163b7a21f0cb5949a49eb6409310797b52",1,1,0,0,0,0,0,0,0,1,0,0,"2013-04-05 06:01:17",1,0.9,"less_day",1
6072611,"eclipse/jetty.project",1,1,2,6,63,"faible","src",1,"Friday","0",1472,"daily","MERGE",0,1,1,0,1,1,1,1,1,1,0.558629373452199,"0","0","0","0","0","533cd57b53f8fbe9c0c9f8a19303517a0870658f",1,1,0,0,0,0,0,0,0,1,0,0,"2013-04-05 06:01:32",1,0.95,"less_day",1
6073025,"eclipse/jetty.project",1,1,1,1,1,"faible","test+src",2,"Friday","0",1472,"daily","PUSH",0,1,1,0,1,1,1,1,1,1,0,"0","0","0","0","0","01c23226157a9aa01bf68c66575dea8f9e2f2d8c",1,0,0,0,0,0,0,0,0,0,0,0,"2013-04-05 06:31:14",1,0.95,"less_day",1
6093673,"eclipse/jetty.project",1,1,2,18,42,"faible","test+src",17,"Friday","0",1401,"daily","PUSH",0,1,1,0,1,1,1,1,1,1,0.996791631981637,"0","0","0","0","0","120b8c98396f8176bf80798ed86db5a6568381c8",1,0,0,0,0,0,0,0,0,1,0,0,"2013-04-05 21:31:19",1,0.95,"less_day",1
6137351,"eclipse/jetty.project",2,6,200,2159,13833,"faible","src+other",18,"Sunday","0",1475,"daily","PUSH",0,1,1,0,1,NA,1,NA,1,NA,0.404836303302132,"1","0","1","1","1","4e8406f62dc9b9245c602680ae18ab18f646f6af",1,1,0,1,0,0,1,0,1,1,1,0,"2013-04-07 22:34:44",1,0.95,"week_ago",1
