tr_build_id,gh_project_name,NC,nbr_auth,NMF,NLR,NLA,CX,FT,TD,WD,CTM,AX,ACF,BT,openjdk6,openjdk7,oraclejdk7,oraclejdk8,BS3,prev_BS3,BS2,prev_BS2,BS1,prev_BS1,entropy,MysteryGuest,GeneralFixture,AssertionRoulette,IndirectTesting,SensitiveEquality,commit,LongMethod,LongParameterList,ComplexClass,Blob,LazyClass,AntiSingleto,BaseClassShouldBeAbstract,RefusedParentBequest,ManyFieldAttributesButNotComplex,SpaghettiCode,SpeculativeGenerality,LargeClass,gh_build_started_at,old_PB,BC,DLF,exist_test
11562363,lenskit/lenskit,2.0,13.0,67.0,132.0,775.0,faible,src+other,13.0,Thursday,1.0,1248.0,daily,UNKNOWN,1.0,0.0,1.0,0.0,1.0,,1.0,,1.0,,0.445102476976492,1.0,0.0,0.0,0.0,1.0,3d6e4b5d9c86ea15ece805dc0218c7aa58bedf22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-09-19 17:59:57,,,,1.0
11563111,lenskit/lenskit,1.0,1.0,1.0,2.0,5.0,faible,other,14.0,Thursday,1.0,1248.0,daily,UNKNOWN,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,27ab5504c16ec636c2f22760f3bbadf1efdbad6e,,,,,,,,,,,,,2013-09-19 18:18:29,1.0,1.0,less_day,0.0
11565251,lenskit/lenskit,1.0,1.0,1.0,1.0,1.0,faible,other,15.0,Thursday,1.0,1248.0,daily,UNKNOWN,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,d42369463fd10d9a194ba5299301f9bfbc4323f8,,,,,,,,,,,,,2013-09-19 19:22:47,0.0,0.5,less_day,0.0
11566269,lenskit/lenskit,1.0,1.0,1.0,0.0,1.0,faible,other,15.0,Thursday,1.0,1248.0,daily,UNKNOWN,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,,,,,eb870e504d9c2e8f5f2c1aac505152de80dff424,,,,,,,,,,,,,2013-09-19 19:51:36,0.0,0.33,less_day,0.0
11567763,lenskit/lenskit,1.0,1.0,1.0,2.0,2.0,faible,other,16.0,Thursday,1.0,1248.0,daily,UNKNOWN,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,05e1d6b7181b741cd57751664a5b41e5ac4de85e,,,,,,,,,,,,,2013-09-19 20:30:08,1.0,0.5,less_day,0.0
11569446,lenskit/lenskit,1.0,1.0,2.0,3.0,4.0,faible,src+other,17.0,Thursday,1.0,1248.0,daily,UNKNOWN,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8631205685666309,,,,,,a1ba73fbd484dd9c417b8cbe2f585dfc63c9d613,,,,,,,,,,,,,2013-09-19 21:11:56,1.0,0.6,less_day,0.0
11569633,lenskit/lenskit,1.0,1.0,1.0,1.0,1.0,faible,other,17.0,Thursday,1.0,1248.0,daily,UNKNOWN,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,5e758e2af4b43458fbeba9370937c8c15c378c0d,,,,,,,,,,,,,2013-09-19 21:16:45,0.0,0.5,less_day,0.0
11569993,lenskit/lenskit,1.0,1.0,1.0,1.0,1.0,faible,other,17.0,Thursday,1.0,1248.0,daily,UNKNOWN,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,43986593ec9cddea53c4f7de4b9b3655a657ebf4,,,,,,,,,,,,,2013-09-19 21:25:34,0.0,0.43,less_day,0.0
11628867,lenskit/lenskit,2.0,13.0,40.0,259.0,285.0,moy,src+other,9.0,Saturday,1.0,1250.0,daily,PUSH,0.0,0.0,0.0,0.0,1.0,,1.0,,1.0,,0.657044798873578,,,,,,49c0787c47bf7651e6cdd0d9a01e39a87fb0e534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-09-21 13:33:57,,,,0.0
11629034,lenskit/lenskit,1.0,1.0,1.0,0.0,13.0,faible,other,9.0,Saturday,1.0,1250.0,daily,PUSH,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,0acaf789d49251aab13f67c3986b6d28f6872152,,,,,,,,,,,,,2013-09-21 13:41:05,1.0,1.0,less_day,0.0
11629117,lenskit/lenskit,1.0,1.0,1.0,0.0,2.0,faible,src,9.0,Saturday,1.0,1250.0,daily,PUSH,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,,,,,83e808d63406a2b11ee98ed0d6231fafe22fd31f,,,,,,,,,,,,,2013-09-21 13:46:01,0.0,0.5,less_day,0.0
11629120,lenskit/lenskit,1.0,1.0,1.0,12.0,16.0,faible,src,9.0,Saturday,1.0,1250.0,daily,PUSH,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,223f2d661e36211b050ebc809d82eddb8b88038b,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-09-21 13:46:00,1.0,0.67,less_day,1.0
11641818,lenskit/lenskit,4.0,13.0,11.0,348.0,106.0,moy,test+src+other,18.0,Saturday,1.0,1250.0,daily,PUSH,1.0,0.0,1.0,0.0,1.0,,1.0,,1.0,,0.26320662283289303,,,,,,49c0fc5e512800a809c3e475ce294be92aea0d04,,,,,,,,,,,,,2013-09-21 22:49:36,0.0,0.38,week_ago,0.0
11642399,lenskit/lenskit,3.0,13.0,18.0,389.0,177.0,moy,src+other,19.0,Saturday,1.0,1250.0,daily,PUSH,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.34315052911258004,,,,,,76c839e71918778e3ca9f3545f3bcdf0101a9ca5,,,,,,,,,,,,,2013-09-21 23:18:35,1.0,0.44,less_day,0.0
11644160,lenskit/lenskit,3.0,13.0,22.0,402.0,212.0,faible,src+other,20.0,Saturday,1.0,1250.0,daily,PUSH,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0537928264828997,,,,,,d2bef717ecda91fb09173cc0121bd25c9e59af12,,,,,,,,,,,,,2013-09-22 00:53:01,0.0,0.4,less_day,0.0
11644542,lenskit/lenskit,3.0,13.0,26.0,415.0,247.0,faible,src+other,20.0,Saturday,1.0,1250.0,daily,PUSH,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0537928264828997,,,,,,d2bef717ecda91fb09173cc0121bd25c9e59af12,,,,,,,,,,,,,2013-09-22 01:19:48,0.0,0.4,less_day,0.0
11644771,lenskit/lenskit,2.0,13.0,29.0,428.0,269.0,faible,src,21.0,Saturday,1.0,1251.0,daily,PUSH,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31358161818487,,,,,,741195b6d4990cfe5aa36c91609bab3069d4597d,,,,,,,,,,,,,2013-09-22 01:35:50,0.0,0.3,less_day,0.0
11644821,lenskit/lenskit,4.0,13.0,38.0,712.0,356.0,moy,test+src+other,21.0,Saturday,1.0,1251.0,daily,PUSH,1.0,0.0,1.0,0.0,1.0,,1.0,,1.0,,0.261136592994929,,,,,,cb9dec1f87a0aeeb21d0daaf2a44b19c709f3841,,,,,,,,,,,,,2013-09-22 01:39:18,1.0,0.67,less_day,0.0
11645175,lenskit/lenskit,1.0,1.0,2.0,2.0,2.0,faible,other,22.0,Saturday,1.0,1251.0,daily,PUSH,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,,,,,,e84bacb203410ec45ec7e0daa50f9a69323852eb,,,,,,,,,,,,,2013-09-22 02:03:58,1.0,0.75,less_day,0.0
11645962,lenskit/lenskit,1.0,1.0,2.0,2.0,2.0,faible,other,22.0,Saturday,1.0,1251.0,daily,PUSH,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,,,,,,e84bacb203410ec45ec7e0daa50f9a69323852eb,,,,,,,,,,,,,2013-09-22 02:50:37,1.0,0.75,less_day,0.0
11645969,lenskit/lenskit,1.0,1.0,9.0,283.0,86.0,faible,src+other,22.0,Saturday,1.0,1251.0,daily,MERGE,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.7141284729144101,,,,,,96f5fdd81f990159449e84d4e1ddc79a2377af3b,,,,,,,,,,,,,2013-09-22 02:50:49,1.0,0.67,less_day,0.0
11692375,lenskit/lenskit,1.0,1.0,4.0,77.0,29.0,faible,src+other,10.0,Monday,1.0,1252.0,daily,MERGE,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9339351742068721,1.0,0.0,0.0,0.0,1.0,974594bfcb086addb913c8cf507c12adcbb60c87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-09-23 15:00:10,0.0,0.57,day_ago,1.0
11692706,lenskit/lenskit,1.0,1.0,1.0,12.0,16.0,faible,src,10.0,Monday,1.0,1252.0,daily,PUSH,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,ebc9d8574b79a66eb647687525c5ae6beaec8db1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-09-23 15:06:33,0.0,0.3,day_ago,1.0
