"tr_build_id","gh_project_name","NC","nbr_auth","NMF","NLR","NLA","CX","FT","TD","WD","CTM","AX","ACF","BT","openjdk6","openjdk7","oraclejdk7","oraclejdk8","BS3","prev_BS3","BS2","prev_BS2","BS1","prev_BS1","entropy","MysteryGuest","GeneralFixture","AssertionRoulette","IndirectTesting","SensitiveEquality","commit","LongMethod","LongParameterList","ComplexClass","Blob","LazyClass","AntiSingleto","BaseClassShouldBeAbstract","RefusedParentBequest","ManyFieldAttributesButNotComplex","SpaghettiCode","SpeculativeGenerality","LargeClass","gh_build_started_at","old_PB","BC","DLF","exist_test"
9130155,"julianhyde/optiq",127,19,1226,49401,41320,"high","test+src+doc+other",5,"Tuesday","0",434,"daily","UNKNOWN",0,0,1,0,0,NA,0,NA,0,NA,0.16928283171586,"1","0","1","1","0","0c2455412dfdf5e77fddadb706f06d413d4861a5",1,1,0,1,1,0,0,0,1,1,0,0,"2013-07-16 09:12:54",0,0,"",1
9202850,"julianhyde/optiq",1,1,1,0,4,"faible","other",15,"Wednesday","1",436,"daily","PUSH",1,0,1,0,0,0,0,0,0,0,0,"","","","","","45de8f84ecd3114bb09af397e5e21cb90c0b3618",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-07-17 19:38:15",0,0,"",0
9206229,"julianhyde/optiq",1,1,6,50,66,"faible","test+src+other",17,"Wednesday","1",436,"daily","PUSH",1,0,1,0,0,0,0,0,0,0,0.886902084542984,"1","0","1","1","0","f82dc2659a1d4653cc313dd0094d07526203e51b",1,0,0,0,0,0,0,0,0,1,0,0,"2013-07-17 21:32:08",0,0,"",1
9206523,"julianhyde/optiq",1,1,1,1,1,"faible","other",17,"Wednesday","1",436,"daily","PUSH",1,0,1,0,0,0,0,0,0,0,0,"","","","","","318208917571daf90538a620e6a3bb340749858e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-07-17 21:48:51",0,0,"",0
9215407,"julianhyde/optiq",1,1,3,51,82,"faible","test+src",2,"Thursday","1",436,"daily","PUSH",1,0,1,0,0,0,0,0,0,0,0.984257592361766,"0","0","1","0","0","9ad164a3bd8b8c22572f0ff8d2660973830f8a53",1,0,0,0,0,0,0,0,0,1,0,0,"2013-07-18 06:02:51",0,0,"",1
9359268,"julianhyde/optiq",14,19,112,2428,5064,"high","test+src+other",0,"Monday","1",440,"daily","PUSH",1,0,1,0,0,0,0,0,0,0,0.278419414373238,"1","0","1","1","0","99c0c5cfa6a433251e1f0a7fc10e7e47569a1d4e",1,1,0,0,0,0,0,0,0,1,0,0,"2013-07-22 16:34:53",0,0,"",1
9360487,"julianhyde/optiq",3,19,115,2430,5109,"faible","test+src+other",12,"Monday","1",440,"daily","PUSH",1,0,1,0,1,0,0,0,1,0,0,"","","","","","95ec6ce6d2e93140dfdb91f2cfc2c94c82d0cbfa",1,0,0,0,0,0,0,0,0,1,0,0,"2013-07-22 17:06:34",0,0,"",0
9363611,"julianhyde/optiq",1,1,4,46,5,"faible","test+src+other",14,"Monday","1",440,"daily","PUSH",1,0,1,0,0,1,0,0,0,1,0.588378361757788,"1","0","1","0","0","6f8d34ebbb0d7225e57437d48b48d0ff1a93de6a",1,0,0,0,0,0,0,0,0,1,0,0,"2013-07-22 18:37:43",0,0,"",1
9370187,"julianhyde/optiq",2,19,6,54,15,"faible","other",17,"Monday","1",441,"daily","PUSH",1,0,1,0,0,0,0,0,0,0,0,"","","","","","f3bccf8b2507e63e95f53ce2b1de512a6c353c43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-07-22 21:42:51",0,0,"",0
9370197,"julianhyde/optiq",1,1,1,2,2,"faible","other",17,"Monday","1",441,"daily","PUSH",1,0,1,0,0,0,0,0,0,0,0,"","","","","","150c9776db9802c8f35332db60b4edf52f51f2d9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-07-22 21:42:39",0,0,"",0
9414382,"julianhyde/optiq",1,1,54,340,1605,"high","test+src",20,"Tuesday","1",442,"daily","PUSH",1,0,1,0,0,0,0,0,0,0,0.867219856710366,"1","0","1","1","0","13136f9e4b7f4341d5cdce5b9ca8d498f353bb30",1,1,0,0,1,0,0,0,1,1,0,0,"2013-07-24 00:04:35",0,0,"",1
9441633,"julianhyde/optiq",1,1,1,3,96,"faible","src",13,"Wednesday","1",442,"daily","PUSH",1,0,1,0,0,0,0,0,0,0,0,"1","0","0","0","0","0eb66bbb462bfb9bfd3bdfc9f2fb2d602958bcbd",0,0,0,0,0,0,0,0,0,1,0,0,"2013-07-24 17:10:07",0,0,"",1
9452380,"julianhyde/optiq",1,1,9,28,35,"moy","src",18,"Wednesday","1",443,"daily","PUSH",1,0,1,0,0,0,0,0,0,0,0.798311414494718,"0","0","1","0","0","97c7b4b6e7ca0d175eeb09c138b594e1904c7045",1,1,0,0,0,0,0,0,0,1,0,0,"2013-07-24 22:43:18",0,0,"",1
9704761,"julianhyde/optiq",2,19,11,32,40,"faible","src+other",14,"Wednesday","1",449,"daily","PUSH",1,0,1,0,0,0,0,0,0,0,0,"1","0","0","0","0","396847d5db81db0ecb1fc98c9756ac343b1089ba",0,0,0,0,0,0,0,0,0,0,0,0,"2013-07-31 18:33:49",0,0,"",1
9704764,"julianhyde/optiq",1,1,1,2,2,"faible","other",14,"Wednesday","1",449,"daily","PUSH",1,0,1,0,0,0,0,0,0,0,0,"","","","","","4a922049acd92d93360c6d24df79ac808225cd3b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-07-31 18:33:49",0,0,"",0
