tr_build_id,gh_project_name,NC,nbr_auth,NMF,NLR,NLA,CX,FT,TD,WD,CTM,AX,ACF,BT,openjdk6,openjdk7,oraclejdk7,oraclejdk8,BS3,prev_BS3,BS2,prev_BS2,BS1,prev_BS1,entropy,MysteryGuest,GeneralFixture,AssertionRoulette,IndirectTesting,SensitiveEquality,commit,LongMethod,LongParameterList,ComplexClass,Blob,LazyClass,AntiSingleto,BaseClassShouldBeAbstract,RefusedParentBequest,ManyFieldAttributesButNotComplex,SpaghettiCode,SpeculativeGenerality,LargeClass,gh_build_started_at,old_PB,BC,DLF,exist_test
13561816,facebook/presto,965.0,44.0,8022.0,71015.0,169442.0,high,test+src+doc+other,22.0,Tuesday,0.0,441.0,daily,UNKNOWN,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.138665462567302,1.0,0.0,1.0,1.0,1.0,69a90af8039ceecb35dacc82c71fac4a2043c7bc,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2013-11-06 03:55:38,,,,1.0
13566529,facebook/presto,1.0,1.0,1.0,1.0,1.0,faible,src,2.0,Wednesday,1.0,441.0,daily,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,69d42f2fbf14cc6ee99d7479535a844bc99ac5c5,,,,,,,,,,,,,2013-11-06 07:05:01,0.0,0.0,,0.0
13566572,facebook/presto,1.0,1.0,1.0,1.0,1.0,faible,src,2.0,Wednesday,1.0,441.0,daily,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,69d42f2fbf14cc6ee99d7479535a844bc99ac5c5,,,,,,,,,,,,,2013-11-06 07:06:42,0.0,0.0,,0.0
13605909,facebook/presto,1.0,1.0,1.0,2.0,2.0,faible,test+src,17.0,Wednesday,1.0,0.0,other,PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f49f90a454a5aaa4165882f16a1cee52839a33cd,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-11-06 22:22:21,0.0,0.0,,1.0
13656446,facebook/presto,2.0,44.0,4.0,9.0,6.0,faible,src,16.0,Thursday,1.0,0.0,other,PUSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31264968710215,1.0,0.0,1.0,0.0,1.0,68b6fd9aeadb3854598d138d07df61e7d6386742,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-11-07 22:08:47,0.0,0.0,,1.0
13707568,facebook/presto,2.0,44.0,55.0,200.0,593.0,high,test+src+other,16.0,Friday,1.0,457.0,daily,PUSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.586394012771037,1.0,0.0,1.0,0.0,1.0,89608bb1ad25a995b57ceecb90b64f34b8d47269,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-11-08 21:12:35,0.0,0.0,,1.0
13715267,facebook/presto,1.0,1.0,10.0,8.0,65.0,moy,test+src+other,20.0,Friday,1.0,49.0,other,PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666404779952759,1.0,0.0,0.0,0.0,0.0,6ee8e64c5b6d1b631024668bf3b7c71a2d290495,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-11-09 01:19:18,0.0,0.0,,1.0
13717914,facebook/presto,1.0,1.0,10.0,8.0,65.0,moy,test+src+other,20.0,Friday,1.0,49.0,other,PUSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666404779952759,1.0,0.0,0.0,0.0,0.0,6ee8e64c5b6d1b631024668bf3b7c71a2d290495,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-11-09 03:49:04,0.0,0.0,,1.0
13755443,facebook/presto,1.0,1.0,11.0,12.0,12.0,moy,other,0.0,Sunday,1.0,458.0,daily,PUSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98810909157412,,,,,,78045f8ede1f1e3deb4e40b880745141480d362f,,,,,,,,,,,,,2013-11-10 06:12:42,0.0,0.14,,0.0
13755449,facebook/presto,1.0,1.0,11.0,12.0,12.0,moy,other,0.0,Sunday,1.0,458.0,daily,PUSH,0.0,0.0,0.0,0.0,1.0,,0.0,,1.0,,0.98810909157412,,,,,,4c49accc9b62ba228ac4c270fd4752a3539389b5,,,,,,,,,,,,,2013-11-10 06:12:50,0.0,0.0,,0.0
