"tr_build_id","gh_project_name","NC","nbr_auth","NMF","NLR","NLA","CX","FT","TD","WD","CTM","AX","ACF","BT","openjdk6","openjdk7","oraclejdk7","oraclejdk8","BS3","prev_BS3","BS2","prev_BS2","BS1","prev_BS1","entropy","MysteryGuest","GeneralFixture","AssertionRoulette","IndirectTesting","SensitiveEquality","commit","LongMethod","LongParameterList","ComplexClass","Blob","LazyClass","AntiSingleto","BaseClassShouldBeAbstract","RefusedParentBequest","ManyFieldAttributesButNotComplex","SpaghettiCode","SpeculativeGenerality","LargeClass","gh_build_started_at","old_PB","BC","DLF","exist_test"
1241268,"rundeck/rundeck",49,11,255,934,3307,"high","test+src+doc+other",20,"Thursday","1",570,"daily","UNKNOWN",0,0,0,0,0,NA,0,NA,0,NA,0.0901862876576733,NA,NA,NA,NA,NA,"853d962f57721a43dc6178b942f73d210ac82b6a",1,1,0,1,0,0,0,1,0,1,0,0,"2012-05-04 00:15:26",NA,NA,"",0
1268693,"rundeck/rundeck",1,1,1,0,2,"faible","src",15,"Monday","1",573,"daily","PUSH",0,0,0,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,"39d2be976cffc3690528cf0d06855162f9f8d5a4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-05-07 19:09:04",0,0,"",0
1269176,"rundeck/rundeck",1,1,3,2,51,"faible","src",16,"Monday","1",573,"daily","PUSH",0,0,0,0,0,NA,0,NA,0,NA,0.896138159733011,NA,NA,NA,NA,NA,"7bff8a7ee2207ba66471ca4951b184ef38133bf8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-05-07 20:05:13",0,0,"",0
1290983,"rundeck/rundeck",1,1,2,0,3,"faible","src",21,"Wednesday","1",576,"daily","PUSH",0,0,0,0,0,NA,0,NA,0,NA,0.91829583405449,NA,NA,NA,NA,NA,"03a4062209556410dfbe7076a6456fe2388180b4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-05-10 01:16:14",0,0,"",0
1310390,"rundeck/rundeck",1,1,6,144,148,"faible","test+src",19,"Friday","1",578,"daily","PUSH",0,0,0,0,0,NA,0,NA,0,NA,0.492679143436432,NA,NA,NA,NA,NA,"488b2bc4dec17e918788d20ecb50105b17ef096a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-05-11 23:49:07",0,0,"",0
1341274,"rundeck/rundeck",2,11,15,40,190,"high","test+src",19,"Tuesday","1",582,"daily","PUSH",0,0,0,0,0,NA,0,NA,0,NA,0.618185960824821,NA,NA,NA,NA,NA,"02168b9ee48691837c18615781260ae20a1be9ac",1,1,0,1,0,0,0,0,0,1,0,0,"2012-05-15 23:59:55",0,0,"",0
1347811,"rundeck/rundeck",2,11,11,48,214,"moy","src",13,"Wednesday","1",582,"daily","PUSH",0,0,0,0,0,NA,0,NA,0,NA,0.375653437470165,NA,NA,NA,NA,NA,"05d4b408378feebb4399a0bbe61b7f84ea3c6358",1,1,0,1,0,0,0,0,0,0,0,0,"2012-05-16 17:18:51",0,0,"",0
1347958,"rundeck/rundeck",1,1,1,0,5,"faible","src",13,"Wednesday","1",582,"daily","PUSH",0,0,0,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,"8bfa61a66f51fc875ae89eebf8184f6d9022fda1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-05-16 17:39:05",0,0,"",0
1347991,"rundeck/rundeck",2,11,18,37,51,"moy","src+other",13,"Wednesday","1",582,"daily","PUSH",0,0,0,0,0,NA,0,NA,0,NA,0.548327125817863,NA,NA,NA,NA,NA,"930f15a248a062146d2ec940bcf3457ca8d7ae9a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-05-16 17:47:53",0,0,"",0
1351122,"rundeck/rundeck",1,1,3,6,11,"faible","src",14,"Wednesday","1",582,"daily","PUSH",0,0,0,0,0,NA,0,NA,0,NA,0.926262155095312,NA,NA,NA,NA,NA,"ca7a1b9ab664c4ed4aa25a4f6171a07265f80b76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-05-17 00:18:21",0,0,"",0
1358601,"rundeck/rundeck",1,1,1,0,1,"faible","src",20,"Wednesday","1",583,"daily","PUSH",0,0,0,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,"a426c8b05d107ae3d9926bdc0bc63cc9c0b2f727",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-05-17 18:13:51",0,0,"",0
1650909,"rundeck/rundeck",2,11,136,3239,2785,"faible","src",18,"Monday","1",616,"daily","PUSH",0,0,0,0,1,NA,1,NA,1,NA,0.296627194095381,NA,NA,NA,NA,NA,"66dba389abc10ce65c2c8c8ee16578641b941971",1,1,0,0,0,0,0,0,0,1,0,0,"2012-06-18 22:10:44",0,0,"",0
1651780,"rundeck/rundeck",1,1,1,6,49,"faible","src",21,"Monday","1",616,"daily","PUSH",0,0,0,0,1,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,"aef24d15073f25d5d43b162875b5fabb9d2bdd89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012-06-19 01:11:42",1,0.1,"less_day",0
