tr_build_id,gh_project_name,NC,nbr_auth,NMF,NLR,NLA,CX,FT,TD,WD,CTM,AX,ACF,BT,openjdk6,openjdk7,oraclejdk7,oraclejdk8,BS3,prev_BS3,BS2,prev_BS2,BS1,prev_BS1,entropy,MysteryGuest,GeneralFixture,AssertionRoulette,IndirectTesting,SensitiveEquality,commit,LongMethod,LongParameterList,ComplexClass,Blob,LazyClass,AntiSingleto,BaseClassShouldBeAbstract,RefusedParentBequest,ManyFieldAttributesButNotComplex,SpaghettiCode,SpeculativeGenerality,LargeClass,gh_build_started_at,old_PB,BC,DLF,exist_test
4575109,cloudfoundry/uaa,3.0,34.0,423.0,18604.0,10039.0,faible,src+doc+other,5.0,Friday,1.0,0.0,other,UNKNOWN,0.0,0.0,0.0,0.0,1.0,,0.0,,1.0,,0.299502400525976,,,,,,86b76e2343b7adf612edd3eff156d0184e79af38,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-02-04 18:37:31,0.0,0.0,,0.0
4575471,cloudfoundry/uaa,3.0,34.0,426.0,18608.0,10046.0,faible,src+other,13.0,Monday,0.0,459.0,daily,UNKNOWN,0.0,0.0,0.0,0.0,1.0,,0.0,,1.0,,0.0,,,,,,8cefad229cfee5f3bd0eed632e12e9d8a4744020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-02-04 18:50:23,,,,0.0
4576121,cloudfoundry/uaa,1.0,1.0,3.0,5.0,5.0,faible,test+src,14.0,Monday,1.0,459.0,daily,UNKNOWN,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.960229717860761,1.0,0.0,0.0,0.0,1.0,db139f1ff2d82846a1c02fcf1dc088ae06c881f0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-02-04 19:24:12,0.0,0.0,,1.0
4576866,cloudfoundry/uaa,1.0,1.0,1.0,4.0,0.0,faible,other,14.0,Monday,0.0,459.0,daily,UNKNOWN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,2536c7d254eef8defe158ad625f73e073d43fbef,,,,,,,,,,,,,2013-02-04 20:27:36,1.0,0.5,less_day,0.0
4589795,cloudfoundry/uaa,1.0,1.0,3.0,5.0,5.0,faible,test+src,3.0,Tuesday,1.0,460.0,daily,PUSH,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.960229717860761,1.0,0.0,0.0,1.0,1.0,4018d7f576bed443a869909b04d1972223677658,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-02-05 09:12:58,0.0,0.0,,1.0
4635311,cloudfoundry/uaa,1.0,1.0,2.0,13.0,27.0,faible,test+src,1.0,Thursday,0.0,484.0,daily,PR,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4d20c433013894616852df4ed44be190c34b34c3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-02-07 07:01:26,0.0,0.33,week_ago,1.0
4637028,cloudfoundry/uaa,1.0,1.0,2.0,13.0,27.0,faible,src,4.0,Thursday,1.0,462.0,daily,MERGE,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,e396dd1fc0aacd6df1e952a424be15ae02afe4dd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-02-07 09:35:27,0.0,0.33,week_ago,1.0
4637658,cloudfoundry/uaa,1.0,1.0,2.0,3.0,53.0,faible,test+src,5.0,Thursday,1.0,462.0,daily,PUSH,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9852281360342521,0.0,0.0,0.0,0.0,0.0,bd9957b52299da4ba31fb4b1aa4b069a57a3c4f7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-02-07 10:22:50,1.0,0.5,less_day,1.0
4685769,cloudfoundry/uaa,1.0,1.0,2.0,5.0,32.0,faible,test+src,9.0,Saturday,1.0,464.0,daily,PUSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9090221560878149,1.0,0.0,0.0,1.0,1.0,8085d0d08c78612e94ebc39afb15fde97f2e8bdb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-02-09 14:55:22,0.0,0.4,week_ago,1.0
4736098,cloudfoundry/uaa,1.0,1.0,4.0,5.0,14.0,faible,test+src+other,20.0,Monday,0.0,488.0,daily,PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.761478559068705,1.0,0.0,1.0,0.0,1.0,17f79edd714aa52b4bb1e51974c10db2b573661a,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-02-12 01:42:27,0.0,0.33,week_ago,1.0
4753476,cloudfoundry/uaa,1.0,1.0,2.0,9.0,7.0,faible,test+src,15.0,Tuesday,1.0,363.0,daily,PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.954434002924965,1.0,0.0,1.0,0.0,0.0,170580c1c20bd96499545a028821cecda8af0cd9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-02-12 20:16:20,0.0,0.33,week_ago,1.0
4759003,cloudfoundry/uaa,1.0,1.0,2.0,9.0,7.0,faible,src,19.0,Tuesday,1.0,363.0,daily,MERGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.954434002924965,1.0,0.0,1.0,0.0,0.0,225a03a4dea0a5bcafd0c7ca7ef4cc48dc553c8e,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-02-13 00:49:45,0.0,0.33,week_ago,1.0
4759755,cloudfoundry/uaa,1.0,1.0,4.0,5.0,14.0,faible,src+other,20.0,Tuesday,1.0,363.0,daily,MERGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.761478559068705,1.0,0.0,1.0,0.0,1.0,6a3cc06275d364a03a061a85074e0a0dada914e9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-02-13 01:42:22,0.0,0.29,week_ago,1.0
4772825,cloudfoundry/uaa,1.0,1.0,7.0,90.0,132.0,faible,test+src+other,10.0,Wednesday,1.0,468.0,daily,PUSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.585750089798963,0.0,0.0,1.0,0.0,1.0,ceb7765676a21a8f45b3b51101826d0fb58d677e,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-02-13 17:37:41,0.0,0.25,week_ago,1.0
4783489,cloudfoundry/uaa,1.0,1.0,58.0,1061.0,1417.0,high,test+src+other,20.0,Wednesday,1.0,364.0,daily,PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7187503105222529,1.0,0.0,1.0,1.0,1.0,7a86b76556157edcd66c86915b3699ebe7d9a6b9,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2013-02-14 02:36:49,0.0,0.22,week_ago,1.0
4783548,cloudfoundry/uaa,1.0,1.0,58.0,1061.0,1417.0,faible,src+other,20.0,Wednesday,1.0,364.0,daily,MERGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7187503105222529,1.0,0.0,1.0,1.0,1.0,33eb4b1f11177f87d9a3942898daab3575d4f57a,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2013-02-14 02:37:54,0.0,0.22,week_ago,1.0
4788286,cloudfoundry/uaa,1.0,1.0,1.0,1.0,1.0,faible,test+src,3.0,Thursday,1.0,469.0,daily,PUSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184013cd13a7ee7f8563b126a99c4fd3ef477134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-02-14 08:45:49,0.0,0.2,week_ago,1.0
4793102,cloudfoundry/uaa,1.0,1.0,4.0,18.0,145.0,faible,src+other,8.0,Thursday,1.0,469.0,daily,PUSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.720935241204338,0.0,0.0,0.0,0.0,0.0,357b1b519d5d3319beeffecadf9e7941cab443a3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-02-14 16:33:28,0.0,0.18,week_ago,1.0
4801425,cloudfoundry/uaa,1.0,1.0,1.0,6.0,0.0,faible,src,15.0,Thursday,0.0,0.0,other,PUSH,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,c4fdcad2845cc7f51295ae760f42a9a78334fa3a,,,,,,,,,,,,,2013-02-14 23:14:11,1.0,0.33,more_week_ago,0.0
4810954,cloudfoundry/uaa,1.0,1.0,11.0,172.0,650.0,moy,test+src+other,2.0,Friday,1.0,365.0,daily,PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42311222624371997,1.0,0.0,1.0,0.0,1.0,35295897915ffddffef1a39af6aafc08a1de27e6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-02-15 07:55:15,0.0,0.18,week_ago,1.0
4811281,cloudfoundry/uaa,1.0,1.0,11.0,172.0,650.0,moy,test+src+other,2.0,Friday,1.0,365.0,daily,PUSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42311222624371997,1.0,0.0,1.0,0.0,1.0,35295897915ffddffef1a39af6aafc08a1de27e6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-02-15 08:14:50,0.0,0.18,week_ago,1.0
4812107,cloudfoundry/uaa,2.0,34.0,16.0,182.0,714.0,faible,test+src+other,4.0,Friday,0.0,0.0,other,PUSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18310485554752898,0.0,0.0,0.0,0.0,0.0,4fd43891cedc3cb097f6676b18d4f58517afdb45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-02-15 09:20:20,0.0,0.09,more_week_ago,1.0
4812220,cloudfoundry/uaa,1.0,1.0,3.0,1.0,7.0,faible,src,4.0,Friday,1.0,365.0,daily,PUSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9463946303571859,1.0,0.0,1.0,0.0,1.0,982048e00c3481737d62f8e72d5f01e7ad6d57b7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-02-15 09:29:58,0.0,0.09,more_week_ago,1.0
4812843,cloudfoundry/uaa,1.0,1.0,17.0,160.0,22.0,moy,src+other,5.0,Friday,1.0,470.0,daily,PUSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.846984861862774,0.0,0.0,0.0,0.0,0.0,6bb52c6677f9ce206329a837de9d5ebf54cd0872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-02-15 10:06:51,0.0,0.0,more_week_ago,1.0
4814886,cloudfoundry/uaa,1.0,1.0,12.0,73.0,156.0,moy,test+src,7.0,Friday,1.0,470.0,daily,PUSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.776125582611354,1.0,0.0,0.0,1.0,0.0,b28d18fbe49f1c18721ef14a16711b1fa6225ca2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2013-02-15 12:26:38,0.0,0.0,more_week_ago,1.0
4819069,cloudfoundry/uaa,1.0,1.0,1.0,3.0,3.0,faible,src,11.0,Friday,1.0,470.0,daily,PUSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,de496b8f21998462567a90b30305f420d7b7c0cc,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2013-02-15 16:08:11,0.0,0.0,more_week_ago,1.0
4829169,cloudfoundry/uaa,1.0,1.0,2.0,20.0,314.0,faible,test+src,19.0,Friday,1.0,366.0,daily,PUSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.659209349950054,1.0,0.0,0.0,0.0,0.0,d3e796c3300287e08d3da2f17229f59abc1fad93,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-02-16 02:08:42,0.0,0.0,more_week_ago,1.0
4833321,cloudfoundry/uaa,1.0,1.0,1.0,0.0,21.0,faible,src,3.0,Saturday,1.0,471.0,daily,PUSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6250f8a11e751cc8516f5266fbb2babd0f190ba3,,,,,,,,,,,,,2013-02-16 08:05:51,0.0,0.0,more_week_ago,0.0
4833787,cloudfoundry/uaa,1.0,1.0,8.0,96.0,300.0,moy,test+src+other,4.0,Saturday,1.0,366.0,daily,PUSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75229705337272,1.0,0.0,1.0,0.0,1.0,4f60b25c58b9c5d6d77d5c3bbfad10e4abf0b1ad,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-02-16 09:11:16,0.0,0.0,more_week_ago,1.0
4834452,cloudfoundry/uaa,1.0,1.0,1.0,5.0,6.0,faible,src,5.0,Saturday,1.0,366.0,daily,PUSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,ffea685fd5bcfa7ec5dc2c8b2ea1e0d0390ebe3b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-02-16 10:22:24,0.0,0.0,more_week_ago,1.0
4886775,cloudfoundry/uaa,1.0,1.0,1.0,4.0,4.0,faible,src,15.0,Monday,1.0,473.0,daily,PUSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cd3a003b0942c2141f8eaafda3493cbe752f2c32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-02-18 20:59:22,0.0,0.0,more_week_ago,1.0
4898060,cloudfoundry/uaa,4.0,34.0,73.0,262.0,586.0,high,test+src+other,3.0,Tuesday,1.0,474.0,daily,PUSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47115296478019103,1.0,0.0,1.0,0.0,1.0,7a1e04a4c45f721f2cb4b6d3d52f7086cfb984f0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-02-19 08:58:49,0.0,0.0,more_week_ago,1.0
4901272,cloudfoundry/uaa,1.0,1.0,121.0,241.0,1090.0,high,test+src+other,7.0,Tuesday,1.0,474.0,daily,PR,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.896735547066458,0.0,0.0,0.0,0.0,0.0,44cba366557aef22bf15265a4b0796d39920e63d,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-02-19 12:22:27,0.0,0.0,more_week_ago,1.0
4902724,cloudfoundry/uaa,1.0,1.0,121.0,241.0,1090.0,high,test+src+other,7.0,Tuesday,1.0,474.0,daily,PUSH,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.896735547066458,0.0,0.0,0.0,0.0,0.0,44cba366557aef22bf15265a4b0796d39920e63d,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-02-19 13:42:46,0.0,0.0,more_week_ago,1.0
4903697,cloudfoundry/uaa,1.0,1.0,2.0,57.0,35.0,faible,test+src+other,9.0,Tuesday,1.0,474.0,daily,PUSH,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.25801866866481504,0.0,0.0,0.0,0.0,0.0,d2e17ee8a53a0864c3a2287ee7d2a1b9426d8f6d,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-02-19 14:33:24,1.0,0.1,less_day,1.0
4914555,cloudfoundry/uaa,1.0,1.0,1.0,3.0,22.0,faible,test+src,17.0,Tuesday,1.0,370.0,daily,PUSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b1a95abb08694f5ed1658b9e145b542091ce41da,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-02-19 22:21:02,0.0,0.1,less_day,1.0
4924553,cloudfoundry/uaa,1.0,1.0,3.0,29.0,99.0,faible,test+src,4.0,Wednesday,1.0,475.0,daily,PUSH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8632734294008599,0.0,0.0,0.0,0.0,0.0,7d622a9c36431de0894f08719259a74c7c25d7c2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2013-02-20 09:25:43,0.0,0.1,less_day,1.0
